Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Datetime,,,,,
2026-03-19 03:45:00+00:00,1404.5999755859375,1405.0,1392.0,1392.0,0
2026-03-19 03:46:00+00:00,1397.4000244140625,1404.5999755859375,1397.4000244140625,1404.5999755859375,323107
2026-03-19 03:47:00+00:00,1399.5,1399.5,1395.5999755859375,1396.5999755859375,78366
2026-03-19 03:48:00+00:00,1402.0999755859375,1403.9000244140625,1399.300048828125,1399.5999755859375,146359
2026-03-19 03:49:00+00:00,1401.800048828125,1403.5,1401.800048828125,1401.9000244140625,94615
2026-03-19 03:50:00+00:00,1402.199951171875,1404.5999755859375,1402.199951171875,1402.4000244140625,56196
2026-03-19 03:51:00+00:00,1403.5999755859375,1403.5999755859375,1402.0,1402.699951171875,37615
2026-03-19 03:52:00+00:00,1401.800048828125,1404.199951171875,1401.4000244140625,1403.699951171875,43503
2026-03-19 03:53:00+00:00,1400.5999755859375,1401.800048828125,1399.699951171875,1401.800048828125,35822
2026-03-19 03:54:00+00:00,1399.300048828125,1402.0,1398.699951171875,1401.0999755859375,44444
2026-03-19 03:55:00+00:00,1399.0,1400.0,1398.199951171875,1399.0999755859375,38017
2026-03-19 03:56:00+00:00,1399.699951171875,1400.300048828125,1398.9000244140625,1399.0,17911
2026-03-19 03:57:00+00:00,1403.300048828125,1403.699951171875,1399.0,1399.5,51237
2026-03-19 03:58:00+00:00,1404.5999755859375,1404.9000244140625,1403.0,1403.0,52962
2026-03-19 03:59:00+00:00,1400.5999755859375,1404.5999755859375,1400.5999755859375,1404.5,50337
2026-03-19 04:00:00+00:00,1400.699951171875,1400.699951171875,1399.5,1400.5,36049
2026-03-19 04:01:00+00:00,1402.0999755859375,1402.0999755859375,1400.300048828125,1400.699951171875,15405
2026-03-19 04:02:00+00:00,1403.800048828125,1403.800048828125,1401.5999755859375,1401.699951171875,17921
2026-03-19 04:03:00+00:00,1402.5,1403.699951171875,1402.300048828125,1403.699951171875,16507
2026-03-19 04:04:00+00:00,1401.4000244140625,1402.9000244140625,1400.9000244140625,1402.9000244140625,17461
