Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Datetime,,,,,
2026-03-19 03:45:00+00:00,2408.0,2423.10009765625,2408.0,2410.10009765625,0
2026-03-19 03:46:00+00:00,2410.300048828125,2412.800048828125,2401.300048828125,2407.89990234375,34959
2026-03-19 03:47:00+00:00,2411.39990234375,2412.199951171875,2409.199951171875,2409.60009765625,18972
2026-03-19 03:48:00+00:00,2410.199951171875,2413.0,2408.0,2412.0,12941
2026-03-19 03:49:00+00:00,2409.0,2411.699951171875,2408.0,2410.89990234375,18507
2026-03-19 03:50:00+00:00,2407.39990234375,2411.0,2405.10009765625,2408.800048828125,16343
2026-03-19 03:51:00+00:00,2406.5,2407.699951171875,2405.39990234375,2407.199951171875,8413
2026-03-19 03:52:00+00:00,2404.800048828125,2406.39990234375,2404.800048828125,2406.39990234375,10989
2026-03-19 03:53:00+00:00,2409.89990234375,2410.0,2403.39990234375,2405.199951171875,8673
2026-03-19 03:54:00+00:00,2408.0,2410.0,2404.60009765625,2409.300048828125,7396
2026-03-19 03:55:00+00:00,2406.10009765625,2411.60009765625,2405.800048828125,2409.199951171875,7477
2026-03-19 03:56:00+00:00,2408.10009765625,2408.10009765625,2405.0,2406.300048828125,17621
2026-03-19 03:57:00+00:00,2408.10009765625,2410.0,2406.199951171875,2407.300048828125,6135
2026-03-19 03:58:00+00:00,2405.300048828125,2408.39990234375,2405.300048828125,2408.39990234375,5853
2026-03-19 03:59:00+00:00,2403.0,2406.699951171875,2403.0,2405.300048828125,9717
2026-03-19 04:00:00+00:00,2406.300048828125,2406.300048828125,2401.800048828125,2403.0,14441
2026-03-19 04:01:00+00:00,2406.0,2407.5,2404.199951171875,2407.0,6549
2026-03-19 04:02:00+00:00,2407.39990234375,2407.39990234375,2404.699951171875,2406.0,6798
2026-03-19 04:03:00+00:00,2404.199951171875,2407.39990234375,2404.199951171875,2407.39990234375,8013
2026-03-19 04:04:00+00:00,2402.199951171875,2404.5,2401.0,2403.39990234375,11464
2026-03-19 04:05:00+00:00,2406.0,2406.0,2402.0,2402.10009765625,5442
2026-03-19 04:06:00+00:00,2405.800048828125,2406.0,2403.300048828125,2405.199951171875,5315
2026-03-19 04:07:00+00:00,2411.5,2412.10009765625,2405.199951171875,2405.800048828125,17282
2026-03-19 04:08:00+00:00,2406.800048828125,2411.39990234375,2406.0,2411.199951171875,11156
2026-03-19 04:09:00+00:00,2405.39990234375,2408.10009765625,2404.5,2406.800048828125,18315
2026-03-19 04:10:00+00:00,2408.300048828125,2409.0,2405.300048828125,2406.89990234375,9554
2026-03-19 04:11:00+00:00,2409.199951171875,2411.39990234375,2407.89990234375,2408.60009765625,7226
2026-03-19 04:12:00+00:00,2410.89990234375,2411.5,2407.89990234375,2408.800048828125,5427
2026-03-19 04:13:00+00:00,2409.699951171875,2411.800048828125,2407.5,2411.800048828125,4484
2026-03-19 04:14:00+00:00,2410.699951171875,2413.0,2409.10009765625,2409.800048828125,6212
2026-03-19 04:15:00+00:00,2411.300048828125,2412.5,2410.10009765625,2411.800048828125,9442
2026-03-19 04:16:00+00:00,2408.5,2412.0,2408.0,2411.300048828125,8952
2026-03-19 04:17:00+00:00,2405.0,2408.300048828125,2405.0,2408.10009765625,15329
2026-03-19 04:18:00+00:00,2404.300048828125,2405.89990234375,2402.199951171875,2405.10009765625,6424
2026-03-19 04:19:00+00:00,2406.0,2406.699951171875,2404.0,2404.800048828125,5705
2026-03-19 04:20:00+00:00,2406.0,2407.199951171875,2405.0,2406.0,8380
2026-03-19 04:21:00+00:00,2405.60009765625,2407.699951171875,2405.10009765625,2406.10009765625,5604
2026-03-19 04:22:00+00:00,2408.5,2409.0,2405.199951171875,2405.60009765625,6814
2026-03-19 04:23:00+00:00,2404.0,2408.5,2404.0,2408.39990234375,6474
2026-03-19 04:24:00+00:00,2405.10009765625,2407.10009765625,2404.0,2404.0,5867
2026-03-19 04:25:00+00:00,2407.89990234375,2408.10009765625,2404.0,2404.89990234375,4585
2026-03-19 04:26:00+00:00,2406.699951171875,2408.300048828125,2405.89990234375,2407.89990234375,2387
2026-03-19 04:27:00+00:00,2407.60009765625,2408.10009765625,2405.699951171875,2405.699951171875,2283
2026-03-19 04:28:00+00:00,2407.0,2409.0,2406.699951171875,2407.60009765625,5368
2026-03-19 04:29:00+00:00,2404.60009765625,2407.0,2403.300048828125,2407.0,7224
2026-03-19 04:30:00+00:00,2402.89990234375,2404.60009765625,2402.10009765625,2404.300048828125,4528
2026-03-19 04:31:00+00:00,2403.60009765625,2404.699951171875,2402.0,2402.5,14084
2026-03-19 04:32:00+00:00,2402.699951171875,2404.39990234375,2402.0,2404.39990234375,3289
2026-03-19 04:33:00+00:00,2404.699951171875,2405.0,2401.89990234375,2402.699951171875,3493
2026-03-19 04:34:00+00:00,2404.0,2405.0,2402.5,2404.60009765625,2607
2026-03-19 04:35:00+00:00,2399.39990234375,2405.0,2398.89990234375,2403.800048828125,36746
2026-03-19 04:36:00+00:00,2397.10009765625,2400.0,2397.10009765625,2400.0,8040
2026-03-19 04:37:00+00:00,2396.800048828125,2397.39990234375,2396.0,2397.10009765625,8453
2026-03-19 04:38:00+00:00,2396.60009765625,2397.0,2395.300048828125,2396.800048828125,7523
2026-03-19 04:39:00+00:00,2397.60009765625,2397.89990234375,2395.89990234375,2395.89990234375,6388
